"x_3","x_2","x_1","cues","s","u",
1.4855,0.72517,0,1,0,1,
1.4671,1.0595,0.28617,1,0.7426,0,
1.4669,1.2606,0.25054,1,0.77913,1,
1.4615,1.3313,0.23869,1,0.79106,1,
1.4701,1.8523,0.1632,0,0.8644,0,
1.463,1.9652,0.1496,1,0.87709,1,
1.5039,1.624,0.19368,0,0.83535,1,
1.4728,1.7497,0.1764,0,0.85191,1,
1.4687,1.7595,0.1751,0,0.85315,0,
1.3842,2.0966,0.13495,1,0.89058,1,
1.359,2.4128,0.10463,0,0.9178,0,
1.3967,1.863,0.16187,1,0.86565,1,
1.4186,1.9837,0.14746,1,0.87907,1,
1.3714,1.8616,0.16204,0,0.86549,0,
1.3951,1.5349,0.20669,1,0.82272,1,
1.3646,0.82282,0.33134,0,0.69483,1,
1.3091,0.85651,0.32472,0,0.70193,0,
1.2979,0.41393,0.41479,0,0.60203,1,
1.2834,0.3004,0.43844,1,0.57454,1,
1.3322,0.66968,0.36202,1,0.66143,1,
1.2166,0.46095,0.405,1,0.61324,1,
1.2593,0.49124,0.39871,1,0.6204,1,
1.2347,0.13805,0.47201,1,0.53446,1,
1.2412,0.29771,0.43899,1,0.57388,0,
1.2267,0.42525,0.57956,1,0.60474,0,
1.2672,0.44117,0.58227,1,0.60854,0,
1.2629,0.66931,0.61853,0,0.66135,1,
1.1974,0.35471,0.56728,1,0.58776,0,
1.2362,0.50265,0.59254,1,0.62308,0,
1.1962,0.7083,0.62421,0,0.67002,0,
1.2286,0.70421,0.62362,1,0.66912,0,
1.1923,0.62775,0.61231,0,0.65198,1,
1.1631,0.97235,0.65836,1,0.72559,1,
1.1092,0.80607,0.63774,1,0.69127,0,
1.1122,0.9328,0.65373,1,0.71764,0,
1.1465,0.86911,0.64591,1,0.70456,0,
1.1349,1.4303,0.69941,1,0.80696,0,
1.136,1.4179,0.69859,1,0.805,0,
1.1474,1.3897,0.69668,1,0.80054,0,
1.1338,1.641,0.7109,0,0.83768,1,
1.034,1.5304,0.70541,1,0.82206,0,
0.98507,1.2716,0.68776,0,0.78102,0,
0.98807,1.328,0.6922,1,0.79051,0,
1.0188,1.1294,0.67502,0,0.75573,1,
0.91731,0.90544,0.65043,1,0.71207,0,
0.86587,0.95268,0.65608,0,0.72165,0,
0.86779,1.2215,0.68352,0,0.77232,1,
0.8376,0.98019,0.65925,0,0.72715,1,
0.88568,1.5314,0.38234,1,0.8222,1,
0.92115,1.6058,0.37313,0,0.83283,0,
0.96634,1.4069,0.39752,1,0.80327,0,
0.96685,1.843,0.34352,0,0.86331,0,
0.9527,2.1628,0.30414,1,0.89686,1,
0.88939,2.0965,0.31218,0,0.89057,0,
0.8891,1.9571,0.32933,1,0.87622,1,
1.0229,1.8431,0.34352,0,0.86331,1,
1.1315,1.5351,0.38187,1,0.82276,1,
1.1231,1.098,0.43308,0,0.74988,1,
1.0681,1.0926,0.43366,1,0.74888,1,
1.1022,1.3744,0.40143,0,0.79809,0,
1.0916,0.98023,0.44542,1,0.72715,1,
1.065,0.97233,0.44622,1,0.72558,1,
0.97428,1.362,0.40291,1,0.79608,0,
0.97418,1.719,0.35902,0,0.848,0,
0.95308,1.7923,0.34986,0,0.85721,1,
0.94548,1.7336,0.35719,1,0.84987,1,
0.89257,1.7185,0.35908,1,0.84794,0,
0.90561,1.488,0.38767,1,0.81577,1,
