"x_3","x_2","x_1","cues","s","u",
2.7594,2.9794,0,0,0,0,
2.7612,2.7244,0.71465,-2,0.93845,0,
2.7658,1.6253,0.71019,1,0.83552,1,
2.761,1.0799,0.67007,0,0.74648,1,
2.7683,1.3136,0.6911,0,0.78812,1,
2.7666,1.296,0.68972,1,0.78516,1,
2.7749,1.1895,0.68067,2,0.76665,0,
2.7782,1.8332,0.71774,1,0.86214,0,
2.7851,1.7543,0.71532,-1,0.85249,1,
2.7717,3.2148,0.69708,0,0.96139,1,
2.7682,3.4689,0.68553,2,0.96979,1,
2.7773,3.3353,0.69176,0,0.96562,1,
2.7768,3.5132,0.68339,0,0.97106,0,
2.7759,3.933,0.66186,0,0.98079,1,
2.7771,2.8856,0.70972,0,0.94713,1,
2.7801,1.6246,0.71016,-2,0.83543,1,
2.784,2.1344,0.72234,0,0.89421,0,
2.7846,0.34794,0.56607,-2,0.58612,0,
2.7861,0.52845,0.59674,0,0.62912,0,
2.7739,0.44066,0.58219,1,0.60842,1,
2.774,0.66441,0.36309,-1,0.66025,0,
2.7796,-0.0017744,0.50035,-1,0.49956,0,
2.7874,-1.5578,0.70688,0,0.17396,1,
2.778,-2.1864,0.72246,0,0.10098,1,
2.7788,-3.2442,0.69581,0,0.037534,1,
2.7825,-2.061,0.72184,2,0.11295,0,
2.7852,-1.321,0.69167,0,0.21065,1,
2.7892,-1.0307,0.66487,1,0.26295,0,
2.7838,-0.7509,0.63023,1,0.32063,0,
2.7731,-1.52,0.70483,-4,0.17947,0,
2.7752,-1.2029,0.68188,-1,0.23096,1,
2.7726,-0.59626,0.60748,2,0.3552,1,
2.7726,-0.98487,0.65979,1,0.27193,1,
2.7736,-0.5388,0.59841,0,0.36847,1,
2.7755,-0.19203,0.53744,0,0.45214,0,
2.7733,0.82701,0.33051,-1,0.69572,1,
2.7748,-0.6616,0.61739,0,0.34038,0,
2.7666,-0.25066,0.54842,0,0.43766,1,
2.7679,-0.38764,0.57306,1,0.40428,1,
2.7727,-0.53027,0.59703,0,0.37046,1,
2.7796,-2.0718,0.31521,0,0.11187,0,
2.7847,-2.7291,0.23984,-1,0.061278,0,
2.7878,-2.9538,0.21703,0,0.049556,1,
2.7857,-3.1979,0.19418,-1,0.039247,0,
2.7839,-3.1411,0.19931,-2,0.041443,0,
2.7902,-2.9191,0.22044,0,0.051215,0,
2.7976,-3.1929,0.19462,-1,0.039432,0,
2.7892,-2.6147,0.25208,-1,0.068197,0,
2.7808,-2.6135,0.25222,2,0.068277,1,
2.787,-2.9133,0.22102,1,0.051501,0,
2.7851,-3.202,0.19381,1,0.03909,0,
2.7791,-3.487,0.16971,0,0.029683,0,
2.7814,-3.1914,0.19476,0,0.039489,0,
2.7961,-2.7346,0.23926,2,0.060964,0,
2.8058,-2.0672,0.31577,1,0.11232,1,
2.804,-2.4729,0.26783,-1,0.077782,0,
2.8068,-1.3297,0.40675,1,0.20922,0,
2.7975,-0.28637,0.49492,2,0.42889,1,
2.8088,-0.30219,0.49435,1,0.42502,0,
2.8166,0.2211,0.49696,0,0.55505,0,
2.8211,-0.80532,0.33479,1,0.30889,0,
2.8202,-0.64463,0.36712,1,0.3442,1,
2.8061,-1.3458,0.23631,0,0.20656,0,
2.7985,-1.9698,0.14906,-1,0.12241,0,
2.8063,-1.4507,0.21954,2,0.1899,1,
2.8002,-0.69541,0.3568,-2,0.33283,0,
2.8068,-1.9751,0.14845,1,0.12184,1,
2.8086,-2.3691,0.10844,1,0.085563,0,
2.8034,-1.45,0.21964,0,0.18999,0,
2.8174,-1.6302,0.19281,0,0.16381,0,
2.8211,-0.88608,0.31897,-1,0.29192,1,
2.8164,-1.7977,0.17013,2,0.14213,0,
2.8014,-1.9067,0.15652,-2,0.12935,0,
2.8047,-0.21164,0.45685,1,0.44729,1,
2.8057,0.79941,0.63685,-2,0.68985,1,
2.8003,2.6503,0.71657,1,0.93403,0,
2.8029,3.4605,0.68593,0,0.96954,1,
2.7998,2.1146,0.72224,0,0.89231,1,
2.7963,1.8347,0.71778,1,0.86232,1,
2.7955,2.9513,0.70746,0,0.95032,1,
2.7887,3.6911,0.035201,0,0.97566,0,
2.7907,3.5599,0.03948,-2,0.97235,0,
2.7966,3.5865,0.038574,-1,0.97305,0,
2.8089,3.2599,0.051221,-1,0.96303,0,
2.8126,3.2979,0.04957,-2,0.96436,0,
2.8109,1.5444,0.20527,1,0.8241,0,
2.8262,1.5027,0.21153,1,0.81798,0,
2.8301,0.30404,0.43768,-1,0.57543,1,
2.832,-0.48618,0.58982,0,0.38079,0,
2.8373,0.56529,0.3834,0,0.63768,0,
2.8345,1.3686,0.2326,0,0.79715,0,
2.8337,2.1471,0.12965,1,0.8954,0,
2.8255,0.84215,0.32754,0,0.69892,1,
2.8267,1.2054,0.26005,1,0.76948,0,
2.8236,0.82377,0.33115,-1,0.69504,1,
2.8215,0.34973,0.42816,-1,0.58655,0,
2.8279,0.37864,0.42214,-2,0.59355,1,
2.8339,0.76534,0.34274,0,0.68251,1,
2.8378,0.53964,0.38869,-1,0.63173,0,
2.836,-0.13552,0.52664,-1,0.46617,1,

